Id,Lasso,Ridge,ElasticNet,RF,ET,XGB,LGBM
1,12.233703094138969,12.230949727478349,12.23393880926302,12.220157189295303,12.219251139865724,12.211827278137207,12.215446472167969
2,12.126263897709174,12.143180152166728,12.125124019607368,12.015585761762091,12.028113391671573,12.035320281982422,12.04891300201416
3,12.284419475307931,12.281508684750015,12.282995375664113,12.241741356052838,12.275680236369553,12.258706092834473,12.22871208190918
4,12.045856059567967,12.01562979784936,12.044681789374252,12.070269661956113,12.091360640812765,12.073869705200195,12.050920486450195
5,12.594838260488238,12.575368789704813,12.594286966579546,12.5073469498911,12.58670369051972,12.564949035644531,12.593274116516113
6,12.021397714218963,11.991733647823,12.02415682000947,11.934787079434722,11.904423353597018,11.964408874511719,11.980759620666504
7,12.537784701585217,12.553144775573395,12.537846719415674,12.549888355564017,12.50685008517429,12.56991195678711,12.568106651306152
8,12.30055507838802,12.33153063504538,12.305328281050157,12.29709768993738,12.277923555849204,12.307310104370117,12.341879844665527
9,11.764305443338166,11.746188363998035,11.757660606243617,11.9065066278355,11.848567828807164,11.825565338134766,11.671385765075684
10,11.684587007819946,11.694098075763566,11.682237902203624,11.711605895856096,11.748351883543965,11.74515438079834,11.781213760375977
11,11.760020018856416,11.761241572281977,11.761461696272644,11.79743207279136,11.774609628925356,11.7807035446167,11.735239028930664
12,12.89255501287799,12.916776057616088,12.894027234643229,12.7349458074698,12.888942745918676,12.787528991699219,12.796470642089844
13,11.775409740593648,11.78583808290124,11.776172235499097,11.778314934832046,11.787210984140344,11.79287052154541,11.810507774353027
14,12.33197598935114,12.33031902919068,12.332164598177696,12.32122925001299,12.31852629749184,12.304143905639648,12.236847877502441
15,11.950850200912116,11.964220302323524,11.95168524384022,11.919356925851478,11.914522623194676,11.917399406433105,11.926631927490234
16,11.796793176629974,11.80606528904582,11.799569642279208,11.777356100177096,11.705397218423805,11.834455490112305,11.856799125671387
17,11.9481801904969,11.948515276035494,11.948021396631004,11.887585912347186,11.92189180742801,11.895458221435547,11.897624969482422
18,11.585944851480772,11.560956528030164,11.585466595649944,11.634020659717304,11.626024736900154,11.620450019836426,11.63733959197998
19,11.928114007509478,11.936396515160588,11.92365194440755,11.937217071686414,11.918741799049208,11.95686149597168,11.923991203308105
20,11.68391255618727,11.67077311311914,11.684954561335935,11.827984099191834,11.793384746225094,11.766409873962402,11.762796401977539
21,12.651477710186825,12.669459970129926,12.65496350458498,12.628032130433771,12.661793464883411,12.651257514953613,12.69242000579834
22,11.709716971093943,11.699514352588906,11.707439501258031,11.683625422533874,11.719704565710057,11.751944541931152,11.77138614654541
23,12.377397289847035,12.372880180581626,12.376402130613531,12.388763315751705,12.390544579820652,12.354595184326172,12.322104454040527
24,11.890073089165035,11.894368706025872,11.891227690174045,11.836741956453825,11.815520480674286,11.84526252746582,11.848280906677246
25,11.905566541638386,11.906797243879767,11.905373499186163,11.8314972047378,11.857412029492002,11.86038875579834,11.90994644165039
26,12.427108224268794,12.438533332722535,12.42911984572576,12.460559362740826,12.448877237709802,12.423633575439453,12.44209098815918
27,11.713311554000676,11.722126203769138,11.713180730511576,11.768901169502248,11.784986057761722,11.794342041015625,11.814693450927734
28,12.532319732432263,12.540357468206466,12.533456202284684,12.60762135679906,12.584386312595957,12.618587493896484,12.624063491821289
